age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,hours.per.week,country,salary,predicted_salary,id
"(29,33]",Local-gov,125927,<= 12th,"[1,8]",With Spouse,Agriculture,Wife or husband,White or Asian-Pac-Islander,Male,40,US,0,0,27
"[17,21]",Private,446839,High School,"(8,9]",Spouseless,Sales,Not-in-family,White or Asian-Pac-Islander,Male,<40,US,0,0,28
"(54,61]",Private,159937,High School,"(8,9]",With Spouse,Sales,Wife or husband,White or Asian-Pac-Islander,Male,>40,US,0,0,29
"(29,33]",Private,202051,Masters,"(13,16]",With Spouse,Prof-specialty,Wife or husband,White or Asian-Pac-Islander,Male,>40,US,0,1,30
"(25,29]",Private,212563,Some-college,"(9,10]",Spouseless,Machine-op-inspct,Unmarried,Other,Female,<40,US,0,0,31
"(29,33]",Private,117747,High School,"(8,9]",With Spouse,Sales,Wife or husband,White or Asian-Pac-Islander,Female,<40,Non-US,0,0,32
"(33,35]",Local-gov,226296,Bachelors,"(12,13]",With Spouse,Tech and Secutity,Wife or husband,White or Asian-Pac-Islander,Male,40,US,1,0,33
"(25,29]",Local-gov,115585,Some-college,"(9,10]",Spouseless,Service,Not-in-family,White or Asian-Pac-Islander,Male,>40,US,0,0,34
"(43,54]",Self-emp-not-inc,191277,Above Masters,"(13,16]",With Spouse,Prof-specialty,Wife or husband,White or Asian-Pac-Islander,Male,>40,US,1,1,35
"(29,33]",Self-emp-inc,317660,High School,"(8,9]",With Spouse,Craft-repair,Wife or husband,White or Asian-Pac-Islander,Male,40,US,1,0,36
"(54,61]",Self-emp-not-inc,335605,High School,"(8,9]",With Spouse,Service,Wife or husband,White or Asian-Pac-Islander,Male,>40,Non-US,1,0,37
"(25,29]",Private,377869,Some-college,"(9,10]",With Spouse,Sales,Wife or husband,White or Asian-Pac-Islander,Female,<40,US,0,0,38
"(35,37]",Private,102864,High School,"(8,9]",Spouseless,Machine-op-inspct,Child or other relative,White or Asian-Pac-Islander,Female,40,US,0,0,39
"(54,61]",Self-emp-inc,303090,Some-college,"(9,10]",With Spouse,Sales,Wife or husband,White or Asian-Pac-Islander,Male,>40,US,0,0,40
"[17,21]",Private,199915,Some-college,"(9,10]",Spouseless,Service,Child or other relative,White or Asian-Pac-Islander,Female,40,US,0,0,41
"(33,35]",Other,129305,High School,"(8,9]",With Spouse,Other,Wife or husband,White or Asian-Pac-Islander,Male,40,US,0,0,42
"(35,37]",Private,254202,Bachelors,"(12,13]",With Spouse,Sales,Wife or husband,White or Asian-Pac-Islander,Male,>40,US,0,1,43
"(37,43]",Federal-gov,125933,Masters,"(13,16]",With Spouse,Prof-specialty,Wife or husband,White or Asian-Pac-Islander,Male,40,Non-US,1,1,44
"(25,29]",Private,163127,Associate,"(10,12]",With Spouse,Administration,Wife or husband,White or Asian-Pac-Islander,Female,<40,US,0,0,45
"(43,54]",Private,196584,Associate,"(10,12]",Spouseless,Prof-specialty,Not-in-family,White or Asian-Pac-Islander,Female,40,US,1,0,46
"(43,54]",Local-gov,186009,Some-college,"(9,10]",Spouseless,Administration,Unmarried,White or Asian-Pac-Islander,Female,<40,Non-US,0,0,47
"(43,54]",Other,252903,High School,"(8,9]",Spouseless,Other,Not-in-family,White or Asian-Pac-Islander,Male,>40,US,1,0,48
"(43,54]",Private,187715,High School,"(8,9]",With Spouse,Craft-repair,Wife or husband,White or Asian-Pac-Islander,Male,>40,US,0,0,49
"(61,90]",Self-emp-not-inc,494223,Some-college,"(9,10]",Spouseless,Sales,Unmarried,Other,Male,<40,US,0,0,50
"(25,29]",Private,191535,High School,"(8,9]",Spouseless,Craft-repair,Not-in-family,White or Asian-Pac-Islander,Male,>40,US,0,0,51
"(43,54]",State-gov,102628,Masters,"(13,16]",Spouseless,Tech and Secutity,Unmarried,White or Asian-Pac-Islander,Male,40,US,0,0,52
"(25,29]",Private,124953,High School,"(8,9]",Spouseless,Service,Not-in-family,White or Asian-Pac-Islander,Male,40,US,0,0,53
"(25,29]",State-gov,175325,High School,"(8,9]",With Spouse,Tech and Secutity,Wife or husband,White or Asian-Pac-Islander,Male,40,US,0,0,54
"[17,21]",Private,312956,High School,"(8,9]",Spouseless,Craft-repair,Child or other relative,Other,Male,40,US,0,0,55
"(33,35]",Private,483777,High School,"(8,9]",Spouseless,Service,Not-in-family,Other,Male,40,US,0,0,56
"(37,43]",Private,114580,Some-college,"(9,10]",Spouseless,Administration,Not-in-family,White or Asian-Pac-Islander,Female,40,US,0,0,57
"(29,33]",Private,633742,Some-college,"(9,10]",Spouseless,Craft-repair,Not-in-family,Other,Male,>40,US,0,0,58
"(43,54]",Other,135105,Bachelors,"(12,13]",Spouseless,Other,Not-in-family,White or Asian-Pac-Islander,Female,>40,US,0,0,59
"(29,33]",Private,99928,Masters,"(13,16]",With Spouse,Prof-specialty,Wife or husband,White or Asian-Pac-Islander,Female,>40,US,0,1,60
"(37,43]",Private,155222,Some-college,"(9,10]",Spouseless,Machine-op-inspct,Not-in-family,Other,Female,<40,US,0,0,61
"(37,43]",Federal-gov,130760,Bachelors,"(12,13]",With Spouse,Tech and Secutity,Wife or husband,White or Asian-Pac-Islander,Male,<40,US,0,1,62
"(35,37]",Private,99374,Some-college,"(9,10]",Spouseless,Craft-repair,Not-in-family,White or Asian-Pac-Islander,Male,40,US,0,0,63
"(25,29]",Private,397317,Masters,"(13,16]",Spouseless,Prof-specialty,Not-in-family,White or Asian-Pac-Islander,Female,40,US,0,0,64
"[17,21]",Other,170653,High School,"(8,9]",Spouseless,Other,Child or other relative,White or Asian-Pac-Islander,Male,40,Non-US,0,0,65
"(43,54]",Private,259323,Bachelors,"(12,13]",With Spouse,Exec-managerial,Wife or husband,White or Asian-Pac-Islander,Male,>40,US,1,1,66
"(35,37]",State-gov,48211,High School,"(8,9]",Spouseless,Administration,Unmarried,White or Asian-Pac-Islander,Female,<40,US,0,0,67
"(33,35]",Private,36270,High School,"(8,9]",Spouseless,Craft-repair,Not-in-family,White or Asian-Pac-Islander,Male,>40,US,0,0,68
"(54,61]",Self-emp-inc,210563,High School,"(8,9]",With Spouse,Sales,Wife or husband,White or Asian-Pac-Islander,Female,<40,US,1,0,69
"(43,54]",Local-gov,160943,High School,"(8,9]",With Spouse,Transport-moving,Wife or husband,Other,Male,40,US,0,0,70
"(54,61]",Private,85815,High School,"(8,9]",With Spouse,Craft-repair,Wife or husband,White or Asian-Pac-Islander,Male,40,US,0,0,71
"(37,43]",Private,182609,Bachelors,"(12,13]",With Spouse,Sales,Wife or husband,White or Asian-Pac-Islander,Male,>40,Non-US,0,1,72
"(29,33]",Private,197860,Some-college,"(9,10]",With Spouse,Service,Wife or husband,White or Asian-Pac-Islander,Male,40,US,0,0,73
"(61,90]",Other,187656,<= 12th,"[1,8]",Spouseless,Other,Not-in-family,White or Asian-Pac-Islander,Male,40,US,0,0,74
"(61,90]",Private,314209,Associate,"(10,12]",Spouseless,Administration,Not-in-family,White or Asian-Pac-Islander,Female,<40,Non-US,0,0,75
"(37,43]",Private,130408,High School,"(8,9]",Spouseless,Sales,Unmarried,Other,Female,<40,US,0,0,76
"(25,29]",Private,76714,Above Masters,"(13,16]",Spouseless,Prof-specialty,Not-in-family,White or Asian-Pac-Islander,Male,>40,US,1,0,77
"(37,43]",State-gov,170525,Some-college,"(9,10]",Spouseless,Administration,Not-in-family,White or Asian-Pac-Islander,Female,<40,US,0,0,78
"(21,23]",Private,115458,High School,"(8,9]",Spouseless,Transport-moving,Child or other relative,White or Asian-Pac-Islander,Male,40,US,0,0,79
"(43,54]",Private,153141,High School,"(8,9]",With Spouse,Administration,Wife or husband,White or Asian-Pac-Islander,Male,40,Non-US,0,0,80
"(37,43]",Private,390781,Bachelors,"(12,13]",With Spouse,Administration,Wife or husband,Other,Female,40,US,0,0,81
"(54,61]",Local-gov,171328,<= 12th,"[1,8]",Spouseless,Service,Unmarried,Other,Female,<40,US,0,0,82
"(43,54]",Private,98092,High School,"(8,9]",With Spouse,Sales,Wife or husband,White or Asian-Pac-Islander,Male,>40,US,0,0,83
"(43,54]",Private,170924,Some-college,"(9,10]",With Spouse,Craft-repair,Wife or husband,White or Asian-Pac-Islander,Male,40,US,1,0,84
"(23,25]",Private,279472,Some-college,"(9,10]",With Spouse,Machine-op-inspct,Wife or husband,White or Asian-Pac-Islander,Female,>40,US,1,0,85
"(54,61]",Private,173960,Bachelors,"(12,13]",Spouseless,Prof-specialty,Not-in-family,White or Asian-Pac-Islander,Female,>40,US,0,0,86
"(37,43]",Private,220531,Above Masters,"(13,16]",With Spouse,Prof-specialty,Wife or husband,White or Asian-Pac-Islander,Male,>40,US,1,1,87
"(43,54]",Private,193884,<= 12th,"[1,8]",With Spouse,Craft-repair,Wife or husband,White or Asian-Pac-Islander,Male,40,Non-US,0,0,88
"(37,43]",Private,169469,High School,"(8,9]",Spouseless,Sales,Not-in-family,White or Asian-Pac-Islander,Male,>40,US,0,0,89
"(43,54]",Private,146268,Bachelors,"(12,13]",With Spouse,Administration,Wife or husband,White or Asian-Pac-Islander,Male,40,US,1,1,90
"(37,43]",Private,173321,High School,"(8,9]",Spouseless,Administration,Not-in-family,White or Asian-Pac-Islander,Female,40,US,0,0,91
"(33,35]",Private,193815,Associate,"(10,12]",With Spouse,Administration,Wife or husband,White or Asian-Pac-Islander,Male,40,US,1,0,92
"(23,25]",Private,191954,Some-college,"(9,10]",Spouseless,Machine-op-inspct,Not-in-family,White or Asian-Pac-Islander,Male,40,US,0,0,93
"(61,90]",Self-emp-not-inc,138714,Some-college,"(9,10]",With Spouse,Sales,Wife or husband,White or Asian-Pac-Islander,Male,40,US,0,0,94
"(21,23]",Private,399087,<= 12th,"[1,8]",With Spouse,Machine-op-inspct,Child or other relative,White or Asian-Pac-Islander,Female,40,Non-US,0,0,95
"(37,43]",Self-emp-not-inc,174308,High School,"(8,9]",With Spouse,Exec-managerial,Wife or husband,White or Asian-Pac-Islander,Male,40,US,0,0,96
"(37,43]",Private,50356,Some-college,"(9,10]",With Spouse,Craft-repair,Wife or husband,White or Asian-Pac-Islander,Male,>40,US,0,0,97
"(21,23]",Other,211601,Associate,"(10,12]",Spouseless,Other,Child or other relative,Other,Female,<40,US,0,0,98
"(25,29]",Private,224563,Bachelors,"(12,13]",Spouseless,Administration,Not-in-family,White or Asian-Pac-Islander,Male,40,US,0,0,99
"(43,54]",Private,261192,High School,"(8,9]",With Spouse,Service,Wife or husband,Other,Male,40,US,0,0,100
"(21,23]",State-gov,293364,Some-college,"(9,10]",Spouseless,Tech and Secutity,Child or other relative,Other,Female,40,US,0,0,101
"(61,90]",Other,36135,<= 12th,"[1,8]",With Spouse,Other,Wife or husband,White or Asian-Pac-Islander,Male,<40,US,0,0,102
"(54,61]",Private,101128,Associate,"(10,12]",Spouseless,Service,Not-in-family,White or Asian-Pac-Islander,Male,<40,Non-US,0,0,103
"(25,29]",Self-emp-not-inc,117125,<= 12th,"[1,8]",With Spouse,Craft-repair,Wife or husband,White or Asian-Pac-Islander,Male,40,Non-US,0,0,104
"(25,29]",Private,92262,High School,"(8,9]",With Spouse,Craft-repair,Wife or husband,White or Asian-Pac-Islander,Male,40,US,0,0,105
"(54,61]",Self-emp-not-inc,183081,Some-college,"(9,10]",With Spouse,Sales,Wife or husband,White or Asian-Pac-Islander,Male,>40,US,0,0,106
"(54,61]",Private,212448,Bachelors,"(12,13]",Spouseless,Exec-managerial,Not-in-family,White or Asian-Pac-Islander,Female,>40,US,1,0,107
"(37,43]",State-gov,184018,Associate,"(10,12]",With Spouse,Machine-op-inspct,Wife or husband,White or Asian-Pac-Islander,Male,<40,US,1,0,108
"(43,54]",Private,256649,High School,"(8,9]",With Spouse,Machine-op-inspct,Wife or husband,Other,Male,40,US,0,0,109
"[17,21]",Local-gov,350845,Some-college,"(9,10]",Spouseless,Administration,Child or other relative,White or Asian-Pac-Islander,Female,<40,US,0,0,110
"(43,54]",Private,108699,Some-college,"(9,10]",Spouseless,Sales,Not-in-family,White or Asian-Pac-Islander,Female,40,US,0,0,111
"(43,54]",Private,162028,Some-college,"(9,10]",With Spouse,Administration,Wife or husband,White or Asian-Pac-Islander,Female,<40,US,1,0,112
"[17,21]",Private,25429,Some-college,"(9,10]",Spouseless,Administration,Child or other relative,White or Asian-Pac-Islander,Female,<40,US,0,0,113
"[17,21]",Private,232392,High School,"(8,9]",Spouseless,Service,Child or other relative,White or Asian-Pac-Islander,Female,40,US,0,0,114
"(33,35]",State-gov,98101,Bachelors,"(12,13]",With Spouse,Exec-managerial,Wife or husband,White or Asian-Pac-Islander,Male,>40,Non-US,1,1,115
"(43,54]",Private,115562,Some-college,"(9,10]",With Spouse,Tech and Secutity,Wife or husband,White or Asian-Pac-Islander,Male,40,US,0,0,116
"[17,21]",Private,416103,Some-college,"(9,10]",Spouseless,Service,Child or other relative,White or Asian-Pac-Islander,Male,40,US,0,0,117
"(37,43]",Private,445382,Masters,"(13,16]",With Spouse,Exec-managerial,Wife or husband,White or Asian-Pac-Islander,Male,>40,US,1,1,118
"(37,43]",Local-gov,42346,Some-college,"(9,10]",Spouseless,Service,Not-in-family,Other,Female,<40,US,0,0,119
"(23,25]",Private,241951,High School,"(8,9]",Spouseless,Service,Unmarried,Other,Female,40,US,0,0,120
"(29,33]",Private,118500,Some-college,"(9,10]",Spouseless,Exec-managerial,Unmarried,White or Asian-Pac-Islander,Female,40,US,0,0,121
"(43,54]",Private,190762,<= 12th,"[1,8]",With Spouse,Machine-op-inspct,Wife or husband,White or Asian-Pac-Islander,Male,40,Non-US,0,0,122
"(29,33]",Private,426017,<= 12th,"[1,8]",Spouseless,Service,Child or other relative,White or Asian-Pac-Islander,Female,<40,US,0,0,123
"(43,54]",Local-gov,287480,Masters,"(13,16]",With Spouse,Prof-specialty,Wife or husband,White or Asian-Pac-Islander,Male,40,US,0,1,124
"(61,90]",Other,107762,High School,"(8,9]",Spouseless,Other,Not-in-family,White or Asian-Pac-Islander,Male,<40,US,0,0,125
"(37,43]",Self-emp-not-inc,204116,Bachelors,"(12,13]",Spouseless,Prof-specialty,Not-in-family,White or Asian-Pac-Islander,Female,40,US,0,0,126
"(29,33]",Private,29662,Associate,"(10,12]",With Spouse,Service,Wife or husband,White or Asian-Pac-Islander,Female,<40,US,1,0,127
"(25,29]",Private,116358,Some-college,"(9,10]",Spouseless,Craft-repair,Child or other relative,White or Asian-Pac-Islander,Male,40,Non-US,0,0,128
"(29,33]",Private,208405,Masters,"(13,16]",With Spouse,Prof-specialty,Wife or husband,White or Asian-Pac-Islander,Male,>40,US,1,1,129
"(33,35]",Local-gov,284843,High School,"(8,9]",Spouseless,Agriculture,Not-in-family,Other,Male,>40,US,0,0,130
"(21,23]",Private,81281,Some-college,"(9,10]",With Spouse,Administration,Wife or husband,White or Asian-Pac-Islander,Male,40,US,0,0,131
"(23,25]",Federal-gov,191073,High School,"(8,9]",Spouseless,Other,Child or other relative,White or Asian-Pac-Islander,Male,40,US,0,0,132
"(43,54]",Private,116632,Some-college,"(9,10]",With Spouse,Prof-specialty,Wife or husband,White or Asian-Pac-Islander,Male,40,US,1,0,133
"(21,23]",Private,54012,High School,"(8,9]",With Spouse,Transport-moving,Wife or husband,White or Asian-Pac-Islander,Male,>40,US,0,0,134
"(43,54]",Local-gov,288825,High School,"(8,9]",With Spouse,Transport-moving,Wife or husband,Other,Male,40,US,0,0,135
"(29,33]",Private,132601,Bachelors,"(12,13]",With Spouse,Prof-specialty,Wife or husband,White or Asian-Pac-Islander,Male,>40,US,0,1,136
"(43,54]",Private,193374,<= 12th,"[1,8]",Spouseless,Craft-repair,Unmarried,White or Asian-Pac-Islander,Male,40,US,0,0,137
"(23,25]",Private,170070,Bachelors,"(12,13]",Spouseless,Tech and Secutity,Not-in-family,White or Asian-Pac-Islander,Female,<40,US,0,0,138
"(35,37]",Private,126708,High School,"(8,9]",With Spouse,Administration,Wife or husband,White or Asian-Pac-Islander,Female,>40,US,0,0,139
"(54,61]",Private,201965,Some-college,"(9,10]",Spouseless,Prof-specialty,Unmarried,White or Asian-Pac-Islander,Male,40,US,1,0,140
"(21,23]",Other,139883,Some-college,"(9,10]",Spouseless,Other,Child or other relative,White or Asian-Pac-Islander,Male,40,US,0,0,141
"(29,33]",Private,303990,High School,"(8,9]",Spouseless,Transport-moving,Not-in-family,White or Asian-Pac-Islander,Male,>40,US,0,0,142
"(61,90]",Private,49401,Associate,"(10,12]",Spouseless,Service,Not-in-family,White or Asian-Pac-Islander,Female,<40,US,0,0,143
"(43,54]",Private,279196,Bachelors,"(12,13]",Spouseless,Craft-repair,Not-in-family,White or Asian-Pac-Islander,Female,40,US,0,0,144
"(21,23]",Private,281432,Some-college,"(9,10]",Spouseless,Service,Child or other relative,White or Asian-Pac-Islander,Male,<40,US,0,0,145
"(25,29]",State-gov,70100,Bachelors,"(12,13]",Spouseless,Prof-specialty,Not-in-family,White or Asian-Pac-Islander,Male,<40,US,0,0,146
"(37,43]",Private,193626,High School,"(8,9]",Spouseless,Craft-repair,Unmarried,White or Asian-Pac-Islander,Female,40,US,0,0,147
"(37,43]",Private,91039,Bachelors,"(12,13]",With Spouse,Sales,Wife or husband,White or Asian-Pac-Islander,Male,>40,US,1,1,148
"(43,54]",Federal-gov,371373,High School,"(8,9]",Spouseless,Administration,Not-in-family,White or Asian-Pac-Islander,Male,40,US,0,0,149
"(33,35]",Private,32220,Associate,"(10,12]",Spouseless,Exec-managerial,Not-in-family,White or Asian-Pac-Islander,Female,>40,US,0,0,150
"(37,43]",Private,343121,High School,"(8,9]",Spouseless,Administration,Unmarried,White or Asian-Pac-Islander,Female,<40,US,0,0,151
"(43,54]",Private,48925,Some-college,"(9,10]",With Spouse,Administration,Wife or husband,White or Asian-Pac-Islander,Male,40,US,0,0,152
"(23,25]",Private,181054,Bachelors,"(12,13]",Spouseless,Sales,Not-in-family,White or Asian-Pac-Islander,Female,40,US,0,0,153
"(23,25]",Private,388093,Bachelors,"(12,13]",Spouseless,Exec-managerial,Not-in-family,Other,Male,40,US,0,0,154
"(43,54]",Private,141944,Associate,"(10,12]",Spouseless,Service,Unmarried,White or Asian-Pac-Islander,Male,>40,US,0,0,155
"(43,54]",Other,251804,<= 12th,"[1,8]",Spouseless,Other,Unmarried,Other,Female,<40,US,0,0,156
"(29,33]",Private,37070,Associate,"(10,12]",Spouseless,Craft-repair,Not-in-family,White or Asian-Pac-Islander,Male,>40,US,0,0,157
"[17,21]",Other,214635,Some-college,"(9,10]",Spouseless,Other,Child or other relative,White or Asian-Pac-Islander,Male,<40,US,0,0,158
"(43,54]",Private,196232,High School,"(8,9]",With Spouse,Exec-managerial,Wife or husband,White or Asian-Pac-Islander,Male,>40,US,1,0,159
"(37,43]",Self-emp-not-inc,190387,High School,"(8,9]",With Spouse,Craft-repair,Wife or husband,White or Asian-Pac-Islander,Male,>40,US,0,0,160
"(43,54]",Self-emp-not-inc,202692,Masters,"(13,16]",With Spouse,Prof-specialty,Wife or husband,White or Asian-Pac-Islander,Male,40,US,0,1,161
"(61,90]",Private,231559,Above Masters,"(13,16]",With Spouse,Prof-specialty,Wife or husband,White or Asian-Pac-Islander,Male,>40,US,1,1,162
"(37,43]",Local-gov,207853,<= 12th,"[1,8]",With Spouse,Tech and Secutity,Wife or husband,White or Asian-Pac-Islander,Male,>40,US,0,0,163
"(54,61]",Private,190942,<= 12th,"[1,8]",Spouseless,Service,Not-in-family,Other,Female,<40,US,0,0,164
"(29,33]",Self-emp-inc,41493,Bachelors,"(12,13]",Spouseless,Agriculture,Not-in-family,White or Asian-Pac-Islander,Female,>40,US,0,0,165
"(25,29]",Private,163862,High School,"(8,9]",Spouseless,Transport-moving,Not-in-family,White or Asian-Pac-Islander,Male,40,US,0,0,166
"(29,33]",Private,84179,High School,"(8,9]",Spouseless,Service,Not-in-family,White or Asian-Pac-Islander,Female,>40,US,0,0,167
"(33,35]",Local-gov,233327,Some-college,"(9,10]",With Spouse,Tech and Secutity,Wife or husband,White or Asian-Pac-Islander,Male,40,US,0,0,168
"(43,54]",Self-emp-not-inc,245724,Some-college,"(9,10]",Spouseless,Exec-managerial,Not-in-family,White or Asian-Pac-Islander,Male,>40,US,0,0,169
"(61,90]",Private,205343,<= 12th,"[1,8]",Spouseless,Administration,Unmarried,White or Asian-Pac-Islander,Female,40,US,0,0,170
"(29,33]",Private,323069,High School,"(8,9]",Spouseless,Administration,Unmarried,White or Asian-Pac-Islander,Female,<40,Non-US,0,0,171
"(43,54]",Self-emp-not-inc,334273,Bachelors,"(12,13]",With Spouse,Prof-specialty,Wife or husband,White or Asian-Pac-Islander,Male,>40,US,1,1,172
"[17,21]",Private,27337,High School,"(8,9]",Spouseless,Service,Child or other relative,Other,Male,>40,US,0,0,173
"[17,21]",Private,242718,<= 12th,"[1,8]",Spouseless,Sales,Child or other relative,White or Asian-Pac-Islander,Male,<40,US,0,0,174
"(35,37]",Private,22463,Associate,"(10,12]",With Spouse,Craft-repair,Wife or husband,White or Asian-Pac-Islander,Male,40,US,1,0,175
"(25,29]",Private,158156,Above Masters,"(13,16]",Spouseless,Prof-specialty,Not-in-family,White or Asian-Pac-Islander,Female,>40,US,0,0,176
"(25,29]",Private,350162,Bachelors,"(12,13]",With Spouse,Exec-managerial,Wife or husband,White or Asian-Pac-Islander,Male,40,US,1,0,177
"(25,29]",Self-emp-not-inc,86646,Some-college,"(9,10]",With Spouse,Craft-repair,Wife or husband,White or Asian-Pac-Islander,Male,>40,US,0,0,178
"(25,29]",Private,181659,High School,"(8,9]",With Spouse,Machine-op-inspct,Wife or husband,White or Asian-Pac-Islander,Male,40,US,0,0,179
"[17,21]",Private,197747,Some-college,"(9,10]",Spouseless,Sales,Child or other relative,White or Asian-Pac-Islander,Female,<40,US,0,0,180
"(43,54]",Private,25826,<= 12th,"[1,8]",With Spouse,Craft-repair,Wife or husband,White or Asian-Pac-Islander,Male,>40,US,1,0,181
"(54,61]",Self-emp-inc,103948,Bachelors,"(12,13]",Spouseless,Prof-specialty,Not-in-family,White or Asian-Pac-Islander,Male,>40,US,0,0,182
"(37,43]",Other,137390,High School,"(8,9]",With Spouse,Other,Wife or husband,White or Asian-Pac-Islander,Male,40,US,0,0,183
"(29,33]",Private,168387,Bachelors,"(12,13]",With Spouse,Prof-specialty,Wife or husband,White or Asian-Pac-Islander,Male,40,Non-US,1,0,184
"(21,23]",Private,117789,Bachelors,"(12,13]",Spouseless,Administration,Child or other relative,White or Asian-Pac-Islander,Female,40,US,0,0,185
"(25,29]",Private,267147,High School,"(8,9]",Spouseless,Sales,Child or other relative,White or Asian-Pac-Islander,Male,40,US,0,0,186
"[17,21]",Private,217039,Some-college,"(9,10]",Spouseless,Administration,Child or other relative,White or Asian-Pac-Islander,Male,<40,US,0,0,187
"(43,54]",Private,45612,High School,"(8,9]",Spouseless,Administration,Unmarried,Other,Female,<40,US,0,0,188
"(43,54]",Private,200853,Masters,"(13,16]",Spouseless,Prof-specialty,Not-in-family,White or Asian-Pac-Islander,Female,>40,US,0,0,189
"(23,25]",Private,247564,High School,"(8,9]",Spouseless,Craft-repair,Not-in-family,White or Asian-Pac-Islander,Male,40,US,0,0,190
"(25,29]",Local-gov,208122,Bachelors,"(12,13]",Spouseless,Prof-specialty,Child or other relative,White or Asian-Pac-Islander,Male,40,US,0,0,191
"(33,35]",Private,153614,High School,"(8,9]",With Spouse,Sales,Wife or husband,White or Asian-Pac-Islander,Male,>40,US,1,0,192
"(29,33]",Private,55849,Some-college,"(9,10]",With Spouse,Craft-repair,Wife or husband,White or Asian-Pac-Islander,Male,>40,US,0,0,193
"(29,33]",Local-gov,402089,High School,"(8,9]",Spouseless,Administration,Unmarried,White or Asian-Pac-Islander,Female,40,US,0,0,194
"(61,90]",Private,78277,High School,"(8,9]",With Spouse,Craft-repair,Wife or husband,White or Asian-Pac-Islander,Male,<40,US,0,0,195
